Basename,Opt. Per.,N. Lines,Avg. Lon.,Avg. Lat.,Avg. Zen.,RDN,LOC,OBS,TIM,LBL,L0,Temperature,Beta Angle
M3T20081119T003333,OP1A,393,-43.677,63.341,68.232,0,1,1,1,0,0,-1,-1
M3T20081119T003353,OP1A,786,-43.704,61.829,66.933,0,1,1,1,0,0,-1,-1
M3G20081119T021501,OP1A,301,134.707,66.685,111.934,0,1,1,1,0,0,164.8740082,30.08
M3G20081119T021733,OP1A,28974,-23.699,30.263,54.31,1,1,1,1,1,1,164.7880096,30.08
M3G20081122T224503,OP1A,647,82.572,46.975,130.415,0,1,1,1,0,0,161.6600037,26.38
M3G20081122T232908,OP1A,7256,-95.934,-17.14,30.152,1,1,1,1,1,1,161.4199982,26.38
M3G20081124T020103,OP1A,581,69.458,-12.861,152.782,0,1,1,1,0,0,162.552002,25.27
M3G20081124T023353,OP1A,950,67.77,87.472,93.726,1,1,1,1,1,1,162.552002,25.27
M3G20081124T023528,OP1A,32746,-110.285,6.066,49.382,1,1,1,1,1,1,-1,-1
M3G20081128T042755,OP1A,570,14.165,-27.501,146.257,0,1,1,1,0,0,165.0440063,21.32
M3G20081128T053620,OP1A,6087,-166.03,-14.356,23.651,1,1,1,1,1,1,164.7880096,21.27
M3G20081128T153721,OP1A,6103,-172.218,-44.122,45.555,1,1,1,1,1,1,164.8740082,20.89
M3G20081129T041146,OP1A,444,0.977,-12.335,158.286,0,1,1,1,0,0,165.8959961,20.36
M3G20081129T052459,OP1A,6203,286.457,-44.841,46.091,1,1,1,1,1,1,165.6380005,20.31
M3G20081129T155939,OP1A,611,-4.133,-17.202,154.409,0,1,1,1,0,0,166.5839996,19.92
M3G20081129T171431,OP1A,251,174.466,-29.21,32.179,0,1,1,1,0,0,166.326004,19.87
M3G20081129T171509,OP1A,5636,174.009,-45.042,46.143,0,1,1,1,0,0,166.326004,19.87
M3G20081130T034731,OP1A,643,-11.656,-21.46,152.137,0,1,1,1,0,0,167.1100006,19.44
M3G20081130T050351,OP1A,6198,167.77,-44.988,46.055,0,1,1,1,0,0,167.1100006,19.39
M3G20081130T155314,OP1A,513,-17.655,27.083,149.881,0,1,1,1,0,0,167.1100006,18.96
M3G20081130T165323,OP1A,6129,161.311,-44.728,45.691,0,1,1,1,0,0,167.1100006,18.91
M3G20081201T054112,OP1A,334,-25.202,27.538,149.762,0,1,1,1,0,0,167.5500031,18.38
M3G20081201T064047,OP1A,6184,153.787,-44.392,45.243,0,1,1,1,0,0,166.9340057,18.38
M3G20081201T173012,OP1A,283,-32.928,26.941,151.069,0,1,1,1,0,0,168.8899994,17.89
M3G20081201T183001,OP1A,6185,147.316,-44.764,45.462,0,1,1,1,0,0,168.4400024,17.89
M3G20081202T051914,OP1A,283,-39.405,25.887,152.189,0,1,1,1,0,0,170.3439941,17.46
