Gchl,Gwvl,Tchn,Twvl,Tfwhm,Tchn,Gchn
1,421.07,1,406.1,12.33,1,1
2,460.99,2,416.08,12.33,2,1
3,500.92,3,426.06,12.32,3,1
4,540.84,4,436.04,12.31,4,1
5,580.76,5,446.02,12.31,5,2
6,620.69,6,456,12.3,6,2
7,660.61,7,465.98,12.3,7,2
8,700.54,8,475.96,12.29,8,2
9,730.48,9,485.95,12.29,9,3
10,750.44,10,495.93,12.28,10,3
11,770.4,11,505.91,12.28,11,3
12,790.37,12,515.89,12.27,12,3
13,810.33,13,525.87,12.27,13,4
14,830.29,14,535.85,12.26,14,4
15,850.25,15,545.83,12.26,15,4
16,870.21,16,555.81,12.26,16,4
17,890.17,17,565.79,12.25,17,5
18,910.14,18,575.77,12.25,18,5
19,930.1,19,585.76,12.25,19,5
20,950.06,20,595.74,12.24,20,5
21,970.02,21,605.72,12.24,21,6
22,989.98,22,615.7,12.24,22,6
23,1009.95,23,625.68,12.24,23,6
24,1029.91,24,635.66,12.23,24,6
25,1049.87,25,645.64,12.23,25,7
26,1069.83,26,655.62,12.23,26,7
27,1089.79,27,665.6,12.23,27,7
28,1109.76,28,675.58,12.23,28,7
29,1129.72,29,685.56,12.22,29,8
30,1149.68,30,695.55,12.22,30,8
31,1169.64,31,705.53,12.22,31,8
32,1189.6,32,715.51,12.22,32,8
33,1209.57,33,725.49,12.22,33,9
34,1229.53,34,735.47,12.22,34,9
35,1249.49,35,745.45,12.22,35,10
36,1269.45,36,755.43,12.22,36,10
37,1289.41,37,765.41,12.22,37,11
38,1309.38,38,775.39,12.22,38,11
39,1329.34,39,785.37,12.22,39,12
40,1349.3,40,795.36,12.22,40,12
41,1369.26,41,805.34,12.22,41,13
42,1389.22,42,815.32,12.22,42,13
43,1409.19,43,825.3,12.22,43,14
44,1429.15,44,835.28,12.22,44,14
45,1449.11,45,845.26,12.22,45,15
46,1469.07,46,855.24,12.23,46,15
47,1489.03,47,865.22,12.23,47,16
48,1508.99,48,875.2,12.23,48,16
49,1528.96,49,885.18,12.23,49,17
50,1548.92,50,895.17,12.23,50,17
51,1578.86,51,905.15,12.23,51,18
52,1618.79,52,915.13,12.24,52,18
53,1658.71,53,925.11,12.24,53,19
54,1698.63,54,935.09,12.24,54,19
55,1738.56,55,945.07,12.24,55,20
56,1778.48,56,955.05,12.24,56,20
