 400.0 -100.   5.9346   5.9346   5.9346
 400.0  -99.   5.3541   5.3541   5.3541
 400.0  -98.   4.9020   4.9020   4.9020
 400.0  -97.   4.5318   4.5318   4.5318
 400.0  -96.   4.2323   4.2323   4.2323
 400.0  -95.   3.9860   3.9860   3.9860
 400.0  -94.   3.7659   3.7659   3.7659
 400.0  -93.   3.5845   3.5845   3.5845
 400.0  -92.   3.4310   3.4310   3.4310
 400.0  -91.   3.2948   3.2948   3.2948
 400.0  -90.   3.1735   3.1735   3.1735
 400.0  -89.   3.0716   3.0716   3.0716
 400.0  -88.   2.9773   2.9773   2.9773
 400.0  -87.   2.8909   2.8909   2.8909
 400.0  -86.   2.8203   2.8203   2.8203
 400.0  -85.   2.7520   2.7520   2.7520
 400.0  -84.   2.6930   2.6930   2.6930
 400.0  -83.   2.6383   2.6383   2.6383
 400.0  -82.   2.5872   2.5872   2.5872
 400.0  -81.   2.5444   2.5444   2.5444
 400.0  -80.   2.5011   2.5011   2.5011
 400.0  -79.   2.4616   2.4616   2.4616
 400.0  -78.   2.4288   2.4288   2.4288
 400.0  -77.   2.3943   2.3943   2.3943
 400.0  -76.   2.3626   2.3626   2.3626
 400.0  -75.   2.3336   2.3336   2.3336
 400.0  -74.   2.3055   2.3055   2.3055
 400.0  -73.   2.2786   2.2786   2.2786
 400.0  -72.   2.2519   2.2519   2.2519
 400.0  -71.   2.2270   2.2270   2.2270
 400.0  -70.   2.2045   2.2045   2.2045
 400.0  -69.   2.1782   2.1782   2.1782
 400.0  -68.   2.1547   2.1547   2.1547
 400.0  -67.   2.1311   2.1311   2.1311
 400.0  -66.   2.1070   2.1070   2.1070
 400.0  -65.   2.0845   2.0845   2.0845
 400.0  -64.   2.0588   2.0588   2.0588
 400.0  -63.   2.0340   2.0340   2.0340
 400.0  -62.   2.0072   2.0072   2.0072
 400.0  -61.   1.9814   1.9814   1.9814
 400.0  -60.   1.9540   1.9540   1.9540
 400.0  -59.   1.9279   1.9279   1.9279
 400.0  -58.   1.8995   1.8995   1.8995
 400.0  -57.   1.8704   1.8704   1.8704
 400.0  -56.   1.8416   1.8416   1.8416
 400.0  -55.   1.8103   1.8103   1.8103
 400.0  -54.   1.7805   1.7805   1.7805
 400.0  -53.   1.7491   1.7491   1.7491
 400.0  -52.   1.7166   1.7166   1.7166
 400.0  -51.   1.6845   1.6845   1.6845
 400.0  -50.   1.6513   1.6513   1.6513
 400.0  -49.   1.6185   1.6185   1.6185
 400.0  -48.   1.5845   1.5845   1.5845
 400.0  -47.   1.5511   1.5511   1.5511
 400.0  -46.   1.5166   1.5166   1.5166
 400.0  -45.   1.4832   1.4832   1.4832
 400.0  -44.   1.4484   1.4484   1.4484
 400.0  -43.   1.4138   1.4138   1.4138
 400.0  -42.   1.3803   1.3803   1.3803
 400.0  -41.   1.3461   1.3461   1.3461
 400.0  -40.   1.3125   1.3125   1.3125
 400.0  -39.   1.2788   1.2788   1.2788
 400.0  -38.   1.2460   1.2460   1.2460
 400.0  -37.   1.2133   1.2133   1.2133
