 400.0 -100.   4.4186   5.6847   5.6389
 400.0  -99.   4.1385   5.2732   5.2315
 400.0  -98.   3.9070   4.9128   4.8746
 400.0  -97.   3.6975   4.5951   4.5599
 400.0  -96.   3.5072   4.3131   4.2895
 400.0  -95.   3.3338   4.0616   4.0396
 400.0  -94.   3.1896   3.8360   3.8156
 400.0  -93.   3.0435   3.6406   3.6207
 400.0  -92.   2.9217   3.4563   3.4441
 400.0  -91.   2.8090   3.2957   3.2775
 400.0  -90.   2.6935   3.1429   3.1314
 400.0  -89.   2.5970   3.0091   2.9977
 400.0  -88.   2.5171   2.8863   2.8749
 400.0  -87.   2.4331   2.7732   2.7620
 400.0  -86.   2.3545   2.6689   2.6577
 400.0  -85.   2.2811   2.5677   2.5613
 400.0  -84.   2.2204   2.4786   2.4720
 400.0  -83.   2.1557   2.3958   2.3890
 400.0  -82.   2.0950   2.3228   2.3156
 400.0  -81.   2.0450   2.2508   2.2435
 400.0  -80.   1.9910   2.1837   2.1763
 400.0  -79.   1.9467   2.1209   2.1135
 400.0  -78.   1.9049   2.0622   2.0577
 400.0  -77.   1.8593   2.0072   2.0025
 400.0  -76.   1.8222   1.9555   1.9507
 400.0  -75.   1.7814   1.9071   1.9021
 400.0  -74.   1.7482   1.8615   1.8564
 400.0  -73.   1.7169   1.8186   1.8134
 400.0  -72.   1.6821   1.7783   1.7730
 400.0  -71.   1.6540   1.7402   1.7372
 400.0  -70.   1.6227   1.7044   1.7012
 400.0  -69.   1.5977   1.6705   1.6650
 400.0  -68.   1.5695   1.6386   1.6330
 400.0  -67.   1.5471   1.6085   1.6028
 400.0  -66.   1.5216   1.5801   1.5743
 400.0  -65.   1.5016   1.5511   1.5474
 400.0  -64.   1.4787   1.5257   1.5200
 400.0  -63.   1.4569   1.4998   1.4961
 400.0  -62.   1.4363   1.4753   1.4716
 400.0  -61.   1.4168   1.4522   1.4486
 400.0  -60.   1.3984   1.4303   1.4267
 400.0  -59.   1.3809   1.4097   1.4062
 400.0  -58.   1.3644   1.3902   1.3867
 400.0  -57.   1.3488   1.3718   1.3669
 400.0  -56.   1.3308   1.3528   1.3497
 400.0  -55.   1.3170   1.3365   1.3319
 400.0  -54.   1.3009   1.3196   1.3152
 400.0  -53.   1.2857   1.3037   1.2995
 400.0  -52.   1.2714   1.2872   1.2848
 400.0  -51.   1.2580   1.2732   1.2695
 400.0  -50.   1.2453   1.2585   1.2552
 400.0  -49.   1.2335   1.2449   1.2419
 400.0  -48.   1.2223   1.2320   1.2293
 400.0  -47.   1.2093   1.2200   1.2175
 400.0  -46.   1.1972   1.2075   1.2054
 400.0  -45.   1.1858   1.1971   1.1941
 400.0  -44.   1.1752   1.1850   1.1836
 400.0  -43.   1.1653   1.1749   1.1727
 400.0  -42.   1.1562   1.1644   1.1626
 400.0  -41.   1.1455   1.1546   1.1533
 400.0  -40.   1.1378   1.1455   1.1436
 400.0  -39.   1.1286   1.1361   1.1347
 400.0  -38.   1.1201   1.1286   1.1266
 400.0  -37.   1.1123   1.1196   1.1182
 400.0  -36.   1.1032   1.1125   1.1105
 400.0  -35.   1.0969   1.1050   1.1037
 400.0  -34.   1.0891   1.0972   1.0965
 400.0  -33.   1.0822   1.0910   1.0900
 400.0  -32.   1.0742   1.0848   1.0834
 400.0  -31.   1.0687   1.0782   1.0776
 400.0  -30.   1.0621   1.0724   1.0724
 400.0  -29.   1.0563   1.0673   1.0671
 400.0  -28.   1.0511   1.0621   1.0618
