 400.0 -100.   9.0729  11.6725  11.5785
 400.0  -99.   8.4355  10.7482  10.6632
 400.0  -98.   7.9048   9.9397   9.8625
 400.0  -97.   7.4252   9.2277   9.1572
 400.0  -96.   6.9903   8.5966   8.5495
 400.0  -95.   6.5946   8.0341   7.9907
 400.0  -94.   6.2613   7.5303   7.4901
 400.0  -93.   5.9287   7.0918   7.0531
 400.0  -92.   5.6474   6.6808   6.6573
 400.0  -91.   5.3873   6.3208   6.2860
 400.0  -90.   5.1253   5.9804   5.9586
 400.0  -89.   4.9027   5.6806   5.6591
 400.0  -88.   4.7140   5.4053   5.3840
 400.0  -87.   4.5199   5.1518   5.1309
 400.0  -86.   4.3385   4.9179   4.8972
 400.0  -85.   4.1690   4.6928   4.6811
 400.0  -84.   4.0247   4.4926   4.4806
 400.0  -83.   3.8749   4.3065   4.2943
 400.0  -82.   3.7342   4.1403   4.1274
 400.0  -81.   3.6143   3.9782   3.9652
 400.0  -80.   3.4889   3.8266   3.8137
 400.0  -79.   3.3821   3.6847   3.6718
 400.0  -78.   3.2808   3.5517   3.5440
 400.0  -77.   3.1743   3.4267   3.4188
 400.0  -76.   3.0835   3.3091   3.3010
 400.0  -75.   2.9876   3.1984   3.1901
 400.0  -74.   2.9057   3.0939   3.0855
 400.0  -73.   2.8278   2.9953   2.9868
 400.0  -72.   2.7451   2.9021   2.8935
 400.0  -71.   2.6745   2.8138   2.8089
 400.0  -70.   2.5994   2.7302   2.7251
 400.0  -69.   2.5353   2.6509   2.6421
 400.0  -68.   2.4669   2.5756   2.5668
 400.0  -67.   2.4085   2.5041   2.4952
 400.0  -66.   2.3459   2.4360   2.4271
 400.0  -65.   2.2925   2.3680   2.3623
 400.0  -64.   2.2352   2.3063   2.2977
 400.0  -63.   2.1804   2.2446   2.2390
 400.0  -62.   2.1279   2.1857   2.1802
 400.0  -61.   2.0777   2.1296   2.1243
 400.0  -60.   2.0296   2.0760   2.0708
 400.0  -59.   1.9835   2.0248   2.0198
 400.0  -58.   1.9393   1.9759   1.9710
 400.0  -57.   1.8968   1.9291   1.9222
 400.0  -56.   1.8515   1.8821   1.8777
 400.0  -55.   1.8125   1.8393   1.8330
 400.0  -54.   1.7707   1.7962   1.7902
 400.0  -53.   1.7307   1.7549   1.7493
 400.0  -52.   1.6923   1.7133   1.7101
 400.0  -51.   1.6555   1.6755   1.6707
 400.0  -50.   1.6201   1.6373   1.6330
 400.0  -49.   1.5861   1.6008   1.5969
 400.0  -48.   1.5534   1.5657   1.5622
 400.0  -47.   1.5187   1.5321   1.5290
 400.0  -46.   1.4854   1.4982   1.4956
 400.0  -45.   1.4535   1.4673   1.4636
 400.0  -44.   1.4228   1.4346   1.4329
 400.0  -43.   1.3933   1.4047   1.4021
 400.0  -42.   1.3650   1.3746   1.3725
 400.0  -41.   1.3351   1.3457   1.3442
 400.0  -40.   1.3090   1.3179   1.3157
 400.0  -39.   1.2814   1.2900   1.2884
 400.0  -38.   1.2549   1.2645   1.2622
 400.0  -37.   1.2295   1.2375   1.2360
 400.0  -36.   1.2028   1.2129   1.2108
 400.0  -35.   1.1794   1.1881   1.1867
 400.0  -34.   1.1547   1.1632   1.1625
 400.0  -33.   1.1311   1.1403   1.1392
 400.0  -32.   1.1065   1.1174   1.1160
 400.0  -31.   1.0848   1.0944   1.0938
 400.0  -30.   1.0621   1.0724   1.0724
 400.0  -29.   1.0404   1.0512   1.0510
 400.0  -28.   1.0195   1.0301   1.0298
 400.0  -27.   0.9979   1.0098   1.0094
 400.0  -26.   0.9772   0.9895   0.9891
 400.0  -25.   0.9574   0.9700   0.9696
 400.0  -24.   0.9383   0.9506   0.9509
 400.0  -23.   0.9187   0.9320   0.9316
